"gender"	"ageT1"	"emo_aa_1"	"emo_aa_2"	"emo_aa_3"	"emo_aa_4"	"emo_aa_5"	"neg_abf_1"	"neg_abf_2"	"neg_abf_3"	"neg_abf_4"	"neg_abf_5"
0	12	7	24	24	31	17	1,16666666666667	1	1,33333333333333	1,5	2,33333333333333
1	12	11	23	31	27	27	1,5	1	1	1	1
0	13	13	19	18	10	27	1,5	1	1	1	1
1	12	13	20	35	18	15	1,66666666666667	1,33333333333333	1	1	NA
1	13	13	17	18	18	21	1	1,33333333333333	1,16666666666667	1	1,16666666666667
0	13	14	25	28	31	21	1	1,16666666666667	1,33333333333333	1	1
0	12	14	18	25	26	23	1,16666666666667	1	1,16666666666667	1	1
1	12	14	24	19	19	28	1,83333333333333	1,33333333333333	1,66666666666667	1	1
1	12	15	31	33	27	29	1,16666666666667	1	1	1	1
1	12	15	22	19	20	18	1	1,16666666666667	1,33333333333333	1,16666666666667	1
1	12	15	18	20	20	21	1	1,83333333333333	1,33333333333333	1,16666666666667	1,33333333333333
0	12	15	21	15	30	28	1	1,33333333333333	1,66666666666667	2	1,5
1	12	16	16	17	19	17	1,83333333333333	2,33333333333333	1,83333333333333	2,66666666666667	1,83333333333333
1	12	16	23	25	19	21	2	1,5	1	1	1
1	13	16	14	16	12	12	1	1,33333333333333	1,5	1,66666666666667	1,83333333333333
0	12	16	18	17	19	17	1,83333333333333	1,16666666666667	1,83333333333333	1,33333333333333	1,33333333333333
1	12	16	15	18	20	21	1,16666666666667	1,33333333333333	1	1	1
0	12	16	16	24	26	27	1,66666666666667	1	1	1	1,5
1	12	16	21	16	18	21	1,16666666666667	1,16666666666667	1,33333333333333	1	1
0	12	17	34	32	36	36	1	1,16666666666667	1	1,5	1
0	12	17	20	19	26	29	1,5	1,33333333333333	1	1	1,16666666666667
1	13	18	23	25	34	30	1,16666666666667	1	1,16666666666667	1	1
0	12	18	28	21	27	26	NA	1	1,16666666666667	1,16666666666667	1
1	12	18	17	23	19	16	NA	1	1	1,16666666666667	1
1	13	18	19	21	16	24	1,5	1,5	1	1	1,33333333333333
0	11	18	17	24	24	27	1	1	1	1	1
0	12	18	21	24	20	24	1	1,16666666666667	2,16666666666667	2	2,33333333333333
1	12	18	21	17	21	22	2,16666666666667	1,83333333333333	1,16666666666667	1	1
1	13	18	21	22	31	33	1	1	1	1	1
1	13	19	20	20	24	21	1	1,16666666666667	1	1	1,5
1	12	19	25	27	25	25	1,5	1	1,16666666666667	1	1
0	13	19	23	25	27	21	1	1	1	1	1
1	13	19	21	14	21	18	1	1,16666666666667	1,16666666666667	1	1,16666666666667
1	12	19	21	16	19	21	1,33333333333333	2	1,16666666666667	1	1
0	12	19	23	19	28	30	1,66666666666667	1,66666666666667	1,33333333333333	1	1
0	12	19,34722846843	27	23	22	25	1,5	1,16666666666667	1,33333333333333	1,5	1,5
1	12	19,9853506215454	32	30	27	32	1	1	1,16666666666667	1	1
0	12	20	21	25	24	16	1	1	1	1	1
0	12	20	16	12	17	18	1,66666666666667	1,33333333333333	1	1	1
1	12	20	23	21	25	24	1,83333333333333	2	3,5	1,16666666666667	1,5
0	12	20	21	28	28	22	1,5	1	1	1	1,16666666666667
0	12	20	27	21	23	22	1	1	1,5	1,5	1,16666666666667
0	13	20	31	25	25	22	1	1,16666666666667	1	1,16666666666667	1
1	12	20	25	27	23	29	1	1	1,33333333333333	1,33333333333333	1,33333333333333
0	12	20,9791949132557	31	29	32	28	1	1	1	1	1
0	13	21	21	28	25	27	2,66666666666667	1	2	1	1,5
0	13	21	27	24	19	23	1,83333333333333	1	1,83333333333333	2,16666666666667	1,33333333333333
1	13	21	18	17	20	17	1,5	1,83333333333333	2	1,83333333333333	2,66666666666667
1	13	21	23	18	22	23	1	1	1	1	1
1	13	21	16	27	NA	23	1	NA	1	1	1,33333333333333
0	13	21	23	27	28	30	1	1,66666666666667	1	1	1
1	12	21	17	22	24	22	1	1,16666666666667	1	1	1
1	12	21	17	16	20	18	1	1	1,33333333333333	1,16666666666667	1,5
0	13	21	23	23	25	29	0,998645223387711	1	1,16666666666667	2	1
0	12	21	17	23	24	26	2,16666666666667	1,66666666666667	2,16666666666667	1,5	2
1	12	21	10	22	18	14	2	1,66666666666667	2	1,83333333333333	1,5
0	12	21,2470947140391	21	25	34	26	1,16666666666667	1	1	1	1
1	12	21,9032358428513	NA	24	25	25	1,5	NA	2,16666666666667	1	1,33333333333333
